email,cardNumber,cardHolderName,expirationMonth,expirationYear,upiId,bankName,bankAccountNumber,paymentMode,isSavedDetail,createdDate,createdTime
user17@example.com,1750505905469571,Daniel Thompson,10,2030,,,,CREDIT_CARD,true,2025-05-29,13:13:01
user18@example.com,6375596723492723,Sophia Garcia,09,2025,,,,DEBIT_CARD,true,2024-11-17,13:13:01
user18@example.com,,,,,user18@upi,,,UPI,false,2024-10-04,13:13:01
user19@example.com,1924187718758065,James Martinez,08,2028,,,,DEBIT_CARD,true,2025-01-17,13:13:01
user19@example.com,0938749827010695,James Martinez,05,2030,,,,CREDIT_CARD,true,2025-01-02,13:13:01
user20@example.com,0819323833787160,Isabella Robinson,11,2025,,,,DEBIT_CARD,true,2025-02-18,13:13:01
user20@example.com,,,,,,Wells Fargo,85773703,NET_BANKING,false,2025-04-08,13:13:01
user21@example.com,,,,,user21@upi,,,UPI,true,2025-04-30,13:13:01
user21@example.com,2207835014122618,William Clark,05,2027,,,,DEBIT_CARD,false,2025-03-18,13:13:01
user22@example.com,3194547049245594,Ava Rodriguez,03,2025,,,,DEBIT_CARD,false,2025-07-20,13:13:01
user22@example.com,2597963013844042,Ava Rodriguez,09,2025,,,,CREDIT_CARD,true,2025-06-05,13:13:01
user23@example.com,,,,,user23@paytm,,,UPI,false,2025-05-01,13:13:01
user23@example.com,,,,,,Citibank,66961629,NET_BANKING,false,2025-01-17,13:13:01
user24@example.com,,,,,,SBI Bank,47991912,NET_BANKING,true,2025-05-28,13:13:01
user24@example.com,3987682629975771,Mia Lee,09,2028,,,,DEBIT_CARD,false,2025-02-19,13:13:01
user25@example.com,6428136342916938,Lucas Walker,08,2029,,,,CREDIT_CARD,true,2025-03-09,13:13:01
user25@example.com,,,,,user25@gpay,,,UPI,false,2025-07-11,13:13:01
user26@example.com,,,,,,ICICI Bank,14098565,NET_BANKING,true,2025-06-22,13:13:01
user26@example.com,,,,,,HSBC Bank,74200864,NET_BANKING,false,2024-12-24,13:13:01
user27@example.com,,,,,user27@phonepe,,,UPI,true,2024-12-09,13:13:01
user27@example.com,8783667323137448,Henry Allen,12,2029,,,,CREDIT_CARD,false,2024-12-21,13:13:01
user28@example.com,,,,,,HSBC Bank,81369558,NET_BANKING,false,2025-07-11,13:13:01
user28@example.com,3242193525356791,Amelia Young,04,2026,,,,CREDIT_CARD,false,2025-06-23,13:13:01
user29@example.com,,,,,,SBI Bank,50915419,NET_BANKING,false,2025-02-08,13:13:01
user29@example.com,,,,,,ICICI Bank,75205799,NET_BANKING,false,2025-01-05,13:13:01
user30@example.com,,,,,,ICICI Bank,95334788,NET_BANKING,false,2024-10-26,13:13:01
user30@example.com,0918708541642737,Harper King,03,2028,,,,DEBIT_CARD,true,2025-04-09,13:13:01
user31@example.com,5992565831097138,Michael Wright,10,2028,,,,DEBIT_CARD,true,2025-07-20,13:13:01
user31@example.com,,,,,,Chase Bank,60514901,NET_BANKING,true,2025-01-03,13:13:01
user32@example.com,7375412018520968,Evelyn Lopez,07,2028,,,,DEBIT_CARD,false,2024-11-03,13:13:01
user32@example.com,7135774265628433,Evelyn Lopez,11,2026,,,,DEBIT_CARD,true,2024-09-09,13:13:01
user33@example.com,,,,,,Chase Bank,82762258,NET_BANKING,false,2024-09-17,13:13:01
user33@example.com,3139589257172885,Ethan Hill,09,2030,,,,DEBIT_CARD,true,2025-01-01,13:13:01
user34@example.com,9501852176430696,Abigail Scott,12,2029,,,,CREDIT_CARD,true,2025-04-06,13:13:01
user34@example.com,,,,,,SBI Bank,16460275,NET_BANKING,true,2024-10-19,13:13:01
user35@example.com,4869670933425689,Matthew Green,07,2027,,,,DEBIT_CARD,true,2024-11-03,13:13:01
user35@example.com,,,,,user35@paytm,,,UPI,true,2025-07-06,13:13:01
user36@example.com,,,,,user36@phonepe,,,UPI,false,2024-09-18,13:13:01
user36@example.com,,,,,,HSBC Bank,20819466,NET_BANKING,true,2024-11-11,13:13:01
user37@example.com,3513035264932473,Jackson Baker,05,2027,,,,DEBIT_CARD,false,2025-07-05,13:13:01
user37@example.com,1452546052336429,Jackson Baker,10,2026,,,,CREDIT_CARD,false,2025-08-24,13:13:01
user38@example.com,3095747136194095,Elizabeth Gonzalez,03,2030,,,,DEBIT_CARD,false,2024-09-26,13:13:01
user38@example.com,6105556603669192,Elizabeth Gonzalez,12,2029,,,,DEBIT_CARD,false,2024-09-17,13:13:01
user39@example.com,,,,,user39@paytm,,,UPI,false,2024-11-08,13:13:01
user39@example.com,8275021979585580,Aiden Nelson,12,2026,,,,DEBIT_CARD,false,2025-02-09,13:13:01
user40@example.com,,,,,user40@upi,,,UPI,false,2025-05-30,13:13:01
user40@example.com,,,,,,SBI Bank,55013763,NET_BANKING,true,2025-08-07,13:13:01
user41@example.com,2184044247966411,Samuel Mitchell,02,2026,,,,DEBIT_CARD,true,2025-03-25,13:13:01
user41@example.com,7863439657139017,Samuel Mitchell,04,2026,,,,DEBIT_CARD,true,2025-07-10,13:13:01
user42@example.com,,,,,user42@upi,,,UPI,false,2025-08-24,13:13:01
user42@example.com,,,,,,Bank of America,10883206,NET_BANKING,false,2025-05-12,13:13:01
user43@example.com,1970264335320706,Sebastian Roberts,02,2024,,,,CREDIT_CARD,true,2025-06-11,13:13:01
user43@example.com,5250298101190444,Sebastian Roberts,04,2030,,,,DEBIT_CARD,false,2024-12-11,13:13:01
user44@example.com,,,,,,Citibank,61919532,NET_BANKING,true,2025-04-17,13:13:01
user44@example.com,9811941517568788,Ella Turner,08,2029,,,,CREDIT_CARD,true,2025-06-22,13:13:01
user45@example.com,1162865254855515,Jack Phillips,08,2025,,,,DEBIT_CARD,true,2024-12-15,13:13:01
user45@example.com,,,,,user45@upi,,,UPI,false,2025-07-21,13:13:01
user46@example.com,,,,,,PNC Bank,19541923,NET_BANKING,false,2024-09-29,13:13:01
user46@example.com,8250991449419653,Grace Campbell,05,2029,,,,DEBIT_CARD,false,2024-10-17,13:13:01
user47@example.com,9521354620992791,Owen Parker,06,2026,,,,CREDIT_CARD,true,2025-04-29,13:13:01
user47@example.com,0657662153931542,Owen Parker,08,2026,,,,DEBIT_CARD,false,2024-12-02,13:13:01
user48@example.com,,,,,user48@upi,,,UPI,false,2025-05-24,13:13:01
user48@example.com,1268975948170417,Chloe Evans,08,2029,,,,DEBIT_CARD,false,2025-02-21,13:13:01
user49@example.com,7776514158636027,Carter Edwards,07,2025,,,,CREDIT_CARD,true,2025-08-01,13:13:01
user49@example.com,,,,,,HSBC Bank,43087012,NET_BANKING,true,2025-07-29,13:13:01
user50@example.com,,,,,user50@upi,,,UPI,true,2025-03-18,13:13:01
user50@example.com,7702464374282871,Victoria Collins,08,2030,,,,CREDIT_CARD,false,2025-04-10,13:13:01
vendor1@example.com,5488084021846265,Vendor1 One,09,2025,,,,CREDIT_CARD,true,2024-09-21,13:13:01
vendor1@example.com,,,,,vendor1@phonepe,,,UPI,false,2024-12-17,13:13:01
vendor2@example.com,5412895832095894,Vendor2 Two,08,2027,,,,DEBIT_CARD,true,2025-03-05,13:13:01
vendor2@example.com,1969691390760201,Vendor2 Two,12,2030,,,,DEBIT_CARD,false,2024-11-18,13:13:01
vendor3@example.com,,,,,vendor3@paytm,,,UPI,true,2025-01-24,13:13:01
vendor3@example.com,2341908528123470,Vendor3 Three,11,2030,,,,DEBIT_CARD,true,2024-11-13,13:13:01
vendor4@example.com,,,,,,SBI Bank,70446146,NET_BANKING,true,2025-01-29,13:13:01
vendor4@example.com,8896493935120276,Vendor4 Four,11,2027,,,,DEBIT_CARD,false,2025-06-16,13:13:01
vendor5@example.com,,,,,vendor5@upi,,,UPI,false,2024-11-01,13:13:01
vendor5@example.com,,,,,,TD Bank,23652076,NET_BANKING,false,2025-02-11,13:13:01
vendor6@example.com,,,,,vendor6@upi,,,UPI,true,2025-01-16,13:13:01
vendor6@example.com,,,,,vendor6@paytm,,,UPI,true,2025-08-25,13:13:01
vendor7@example.com,8285976824914454,Vendor7 Seven,03,2030,,,,DEBIT_CARD,true,2024-11-03,13:13:01
vendor7@example.com,,,,,vendor7@phonepe,,,UPI,false,2024-10-05,13:13:01
vendor8@example.com,5238269923887869,Vendor8 Eight,08,2029,,,,CREDIT_CARD,true,2025-08-21,13:13:01
vendor8@example.com,2892898716416732,Vendor8 Eight,04,2026,,,,CREDIT_CARD,true,2025-01-05,13:13:01
vendor9@example.com,1779144578965845,Vendor9 Nine,01,2025,,,,CREDIT_CARD,false,2025-04-03,13:13:01
vendor9@example.com,2309607337801949,Vendor9 Nine,07,2030,,,,DEBIT_CARD,true,2025-06-06,13:13:01
vendor10@example.com,,,,,vendor10@phonepe,,,UPI,true,2025-07-27,13:13:01
vendor10@example.com,,,,,,Citibank,88042891,NET_BANKING,true,2025-07-09,13:13:01
vendor11@example.com,8068677931673365,Vendor11 Eleven,03,2030,,,,CREDIT_CARD,false,2025-04-07,13:13:01
vendor11@example.com,,,,,,Citibank,96903095,NET_BANKING,true,2025-07-20,13:13:01
vendor12@example.com,7019892266615776,Vendor12 Twelve,02,2029,,,,DEBIT_CARD,true,2024-11-22,13:13:01
vendor12@example.com,9602893039403050,Vendor12 Twelve,12,2030,,,,DEBIT_CARD,false,2025-06-06,13:13:01
vendor13@example.com,0278331773623591,Vendor13 Thirteen,04,2030,,,,CREDIT_CARD,false,2025-09-05,13:13:01
vendor13@example.com,7975972250916755,Vendor13 Thirteen,03,2025,,,,DEBIT_CARD,true,2025-02-17,13:13:01
vendor14@example.com,,,,,vendor14@paytm,,,UPI,false,2025-07-16,13:13:01
vendor14@example.com,,,,,vendor14@phonepe,,,UPI,false,2024-10-19,13:13:01
vendor15@example.com,3667608103445840,Vendor15 Fifteen,09,2029,,,,DEBIT_CARD,false,2024-11-23,13:13:01
vendor15@example.com,,,,,vendor15@phonepe,,,UPI,true,2025-01-04,13:13:01
vendor16@example.com,6158960802428592,Vendor16 Sixteen,04,2030,,,,CREDIT_CARD,true,2024-10-04,13:13:01
vendor16@example.com,8476162559775684,Vendor16 Sixteen,04,2025,,,,DEBIT_CARD,false,2025-03-03,13:13:01
vendor17@example.com,5618527271211262,Vendor17 Seventeen,03,2030,,,,DEBIT_CARD,true,2025-03-10,13:13:01
vendor17@example.com,,,,,,Chase Bank,72999109,NET_BANKING,true,2025-03-08,13:13:01
vendor18@example.com,,,,,,SBI Bank,78680232,NET_BANKING,false,2024-12-06,13:13:01
vendor18@example.com,1551118947920041,Vendor18 Eighteen,05,2024,,,,DEBIT_CARD,false,2024-10-09,13:13:01
vendor19@example.com,,,,,,Bank of America,21651785,NET_BANKING,true,2024-10-18,13:13:01
vendor19@example.com,,,,,vendor19@phonepe,,,UPI,false,2025-07-24,13:13:01
vendor20@example.com,,,,,vendor20@upi,,,UPI,false,2025-03-22,13:13:01
vendor20@example.com,,,,,vendor20@paytm,,,UPI,false,2025-07-06,13:13:01
supplier1@example.com,,,,,,TD Bank,32061136,NET_BANKING,false,2025-01-26,13:13:01
supplier1@example.com,3891945978564094,Supplier1 One,01,2027,,,,DEBIT_CARD,true,2024-12-13,13:13:01
supplier2@example.com,,,,,supplier2@gpay,,,UPI,true,2025-07-27,13:13:01
supplier2@example.com,,,,,,PNC Bank,28993215,NET_BANKING,false,2025-06-14,13:13:01
supplier3@example.com,8324059642369390,Supplier3 Three,06,2024,,,,CREDIT_CARD,false,2024-10-08,13:13:01
supplier3@example.com,7817169956381060,Supplier3 Three,08,2025,,,,DEBIT_CARD,false,2025-07-06,13:13:01
supplier4@example.com,2238376694585457,Supplier4 Four,10,2030,,,,CREDIT_CARD,true,2025-03-07,13:13:01
supplier4@example.com,,,,,supplier4@paytm,,,UPI,true,2024-12-15,13:13:01
supplier5@example.com,,,,,,SBI Bank,69798132,NET_BANKING,false,2024-09-28,13:13:01
supplier5@example.com,0559909714569173,Supplier5 Five,04,2025,,,,CREDIT_CARD,true,2025-06-30,13:13:01
supplier6@example.com,0904398656469257,Supplier6 Six,07,2030,,,,DEBIT_CARD,false,2025-04-09,13:13:01
supplier6@example.com,4338729031782571,Supplier6 Six,05,2028,,,,CREDIT_CARD,false,2025-02-19,13:13:01
supplier7@example.com,,,,,supplier7@gpay,,,UPI,true,2024-09-26,13:13:01
supplier7@example.com,,,,,supplier7@gpay,,,UPI,false,2025-04-24,13:13:01
supplier8@example.com,5380530147137711,Supplier8 Eight,12,2025,,,,CREDIT_CARD,false,2024-11-13,13:13:01
supplier8@example.com,,,,,supplier8@paytm,,,UPI,true,2024-11-20,13:13:01
supplier9@example.com,,,,,supplier9@upi,,,UPI,false,2024-12-25,13:13:01
supplier9@example.com,,,,,,HSBC Bank,54751140,NET_BANKING,false,2024-10-30,13:13:01
supplier10@example.com,1541744184112455,Supplier10 Ten,03,2030,,,,CREDIT_CARD,true,2025-08-08,13:13:01
supplier10@example.com,1497726113413377,Supplier10 Ten,12,2027,,,,CREDIT_CARD,false,2024-11-27,13:13:01
supplier11@example.com,4170914280030750,Supplier11 Eleven,01,2027,,,,CREDIT_CARD,true,2025-01-02,13:13:01
supplier11@example.com,9335771712859091,Supplier11 Eleven,08,2028,,,,DEBIT_CARD,false,2024-09-14,13:13:01
supplier12@example.com,3326191081699735,Supplier12 Twelve,08,2026,,,,CREDIT_CARD,false,2024-12-03,13:13:01
supplier12@example.com,1579639825797561,Supplier12 Twelve,10,2028,,,,CREDIT_CARD,false,2024-09-11,13:13:01
supplier13@example.com,,,,,,SBI Bank,75572956,NET_BANKING,false,2025-03-23,13:13:01
supplier13@example.com,,,,,,PNC Bank,95481569,NET_BANKING,true,2025-01-13,13:13:01
supplier14@example.com,,,,,,Bank of America,53449233,NET_BANKING,true,2025-03-14,13:13:01
supplier14@example.com,3364690488971311,Supplier14 Fourteen,07,2029,,,,DEBIT_CARD,true,2025-08-08,13:13:01
supplier15@example.com,,,,,supplier15@phonepe,,,UPI,true,2025-02-16,13:13:01
supplier15@example.com,,,,,supplier15@gpay,,,UPI,true,2024-11-22,13:13:01
supplier16@example.com,5385057869379751,Supplier16 Sixteen,08,2025,,,,CREDIT_CARD,true,2025-06-04,13:13:01
supplier16@example.com,,,,,,TD Bank,61687531,NET_BANKING,false,2025-02-10,13:13:01
supplier17@example.com,7517563370522987,Supplier17 Seventeen,07,2026,,,,CREDIT_CARD,false,2025-03-27,13:13:01
supplier17@example.com,,,,,,Axis Bank,74291414,NET_BANKING,false,2025-07-24,13:13:01
supplier18@example.com,,,,,,Citibank,24937767,NET_BANKING,false,2025-02-18,13:13:01
supplier18@example.com,,,,,supplier18@gpay,,,UPI,true,2025-02-24,13:13:01
supplier19@example.com,,,,,,Chase Bank,10915211,NET_BANKING,true,2025-04-27,13:13:01
supplier19@example.com,6621492899487293,Supplier19 Nineteen,02,2024,,,,DEBIT_CARD,true,2024-11-04,13:13:01
supplier20@example.com,0160445359063805,Supplier20 Twenty,10,2025,,,,DEBIT_CARD,false,2024-11-23,13:13:01
supplier20@example.com,3743962336522807,Supplier20 Twenty,01,2030,,,,CREDIT_CARD,false,2024-09-14,13:13:01
admin1@example.com,,,,,,TD Bank,41602224,NET_BANKING,true,2025-02-21,13:13:01
admin1@example.com,7674478916426102,Admin1 One,09,2026,,,,DEBIT_CARD,true,2025-03-06,13:13:01
admin2@example.com,,,,,,HSBC Bank,63396454,NET_BANKING,true,2025-05-25,13:13:01
admin2@example.com,8542719927054985,Admin2 Two,07,2030,,,,CREDIT_CARD,true,2025-06-07,13:13:01
admin3@example.com,6903760673948171,Admin3 Three,02,2028,,,,CREDIT_CARD,true,2025-05-27,13:13:01
admin3@example.com,9013162593163784,Admin3 Three,03,2024,,,,CREDIT_CARD,true,2024-12-07,13:13:01
admin4@example.com,,,,,admin4@upi,,,UPI,true,2024-09-26,13:13:01
admin4@example.com,5622276138304382,Admin4 Four,09,2029,,,,DEBIT_CARD,true,2024-09-08,13:13:01
admin5@example.com,4557470160593238,Admin5 Five,04,2025,,,,DEBIT_CARD,true,2024-09-12,13:13:01
admin5@example.com,,,,,,Citibank,44148959,NET_BANKING,true,2025-03-18,13:13:01
admin6@example.com,6766679853698400,Admin6 Six,04,2027,,,,CREDIT_CARD,true,2025-02-09,13:13:01
admin6@example.com,9090089947259800,Admin6 Six,08,2029,,,,CREDIT_CARD,true,2025-03-03,13:13:01
admin7@example.com,5996353492346531,Admin7 Seven,06,2029,,,,CREDIT_CARD,false,2025-04-21,13:13:01
admin7@example.com,1482184759071880,Admin7 Seven,05,2026,,,,CREDIT_CARD,false,2025-01-31,13:13:01
admin8@example.com,,,,,admin8@phonepe,,,UPI,false,2025-09-04,13:13:01
admin8@example.com,,,,,,Citibank,19632520,NET_BANKING,true,2025-06-25,13:13:01
admin9@example.com,0352456181155560,Admin9 Nine,07,2025,,,,DEBIT_CARD,true,2024-11-09,13:13:01
admin9@example.com,,,,,admin9@gpay,,,UPI,false,2024-12-02,13:13:01
admin10@example.com,0503224772592686,Admin10 Ten,03,2028,,,,CREDIT_CARD,true,2025-02-17,13:13:01
admin10@example.com,,,,,admin10@paytm,,,UPI,true,2025-05-20,13:13:01
